t, p, dt, dte, dp, derlog 
       18.04,      157.157,            0,            0,           -0,           -0 
     18.0403,      157.179,   0.00031112,  0.000311115,    0.0222873,    0.0216011 
     18.0431,      157.364,   0.00311112,   0.00311058,     0.207583,      0.19586 
     18.0459,      157.535,   0.00591112,   0.00590918,     0.378567,     0.349767 
     18.0487,      157.697,   0.00871112,   0.00870692,     0.540018,     0.489736 
     18.0515,      157.851,    0.0115111,    0.0115038,     0.693892,     0.618998 
     18.0543,      157.998,    0.0143112,    0.0142999,     0.841387,     0.739382 
     18.0571,       158.14,    0.0171112,     0.017095,     0.983293,      0.85217 
     18.0597,      158.267,    0.0197112,    0.0196897,      1.11061,     0.950934 
     18.0625,        158.4,    0.0225112,    0.0224831,      1.24338,      1.05154 
     18.0653,      158.529,    0.0253112,    0.0252757,      1.37202,      1.14681 
     18.0681,      158.654,    0.0281112,    0.0280675,      1.49688,      1.23709 
     18.0709,      158.775,    0.0309112,    0.0308583,       1.6182,       1.3228 
     18.0737,      158.893,    0.0337112,    0.0336483,      1.73626,      1.40468 
     18.0765,      159.008,    0.0365112,    0.0364375,      1.85124,      1.48279 
     18.0793,       159.12,    0.0393112,    0.0392257,      1.96333,      1.55741 
     18.0821,       159.23,    0.0421112,    0.0420131,      2.07271,      1.62877 
     18.0847,      159.329,    0.0447112,    0.0446007,      2.17196,      1.69231 
     18.0875,      159.433,    0.0475112,    0.0473864,      2.27649,      1.75796 
     18.0903,      159.536,    0.0503112,    0.0501713,       2.3787,      1.82092 
     18.0931,      159.635,    0.0531112,    0.0529553,      2.47868,      1.88129 
     18.0959,      159.733,    0.0559112,    0.0557385,      2.57654,      1.93937 
     18.0987,      159.829,    0.0587112,    0.0585207,      2.67238,      1.99508 
     18.1015,      159.923,    0.0615112,    0.0613022,      2.76629,      2.04883 
     18.1043,      160.015,    0.0643112,    0.0640827,      2.85834,      2.10057 
     18.1071,      160.105,    0.0671112,    0.0668625,      2.94861,       2.1504 
     18.1097,      160.188,    0.0697112,    0.0694429,      3.03089,      2.19506 
     18.1125,      160.275,    0.0725112,    0.0722209,      3.11792,      2.24148 
     18.1153,       160.36,    0.0753112,    0.0749981,      3.20335,      2.28626 
     18.1181,      160.444,    0.0781112,    0.0777744,      3.28726,      2.32949 
     18.1209,      160.527,    0.0809112,    0.0805499,      3.36968,      2.37114 
     18.1237,      160.607,    0.0837112,    0.0833245,      3.45068,      2.41145 
     18.1265,      160.687,    0.0865112,    0.0860983,      3.53029,      2.45034 
     18.1293,      160.765,    0.0893112,    0.0888712,      3.60857,      2.48797 
     18.1321,      160.842,    0.0921112,    0.0916433,      3.68557,       2.5243 
     18.1347,      160.913,    0.0947112,    0.0942166,      3.75593,      2.55716 
     18.1403,      161.061,     0.100311,    0.0997563,      3.90398,      2.62441 
     18.1459,      161.204,     0.105911,     0.105293,      4.04746,       2.6872 
     18.1515,      161.343,     0.111511,     0.110826,      4.18663,      2.74648 
     18.1571,      161.479,     0.117111,     0.116356,      4.32174,      2.80186 
     18.1681,      161.733,     0.128111,     0.127208,       4.5761,      2.90174 
     18.1737,      161.857,     0.133711,     0.132727,      4.70035,      2.94807 
     18.1821,      162.037,     0.142111,        0.141,       4.8806,      3.01286 
     18.1875,       162.15,     0.147511,     0.146315,       4.9928,      3.05141 
     18.1931,      162.263,     0.153111,     0.151822,      5.10628,      3.08948 
     18.2015,      162.428,     0.161511,     0.160078,      5.27128,      3.14237 
     18.2097,      162.584,     0.169711,     0.168129,      5.42669,      3.19006 
     18.2181,      162.737,     0.178111,      0.17637,      5.58042,      3.23481 
     18.2265,      162.886,     0.186511,     0.184602,      5.72897,       3.2762 
     18.2347,      163.026,     0.194712,     0.192633,      5.86929,      3.31354 
     18.2459,      163.211,     0.205912,     0.203588,      6.05387,      3.35991 
     18.2571,      163.388,     0.217112,      0.21453,      6.23088,       3.4016 
     18.2681,      163.555,     0.228112,     0.225264,      6.39786,      3.43848 
     18.2793,      163.718,     0.239312,     0.236179,      6.56137,      3.47228 
     18.2903,      163.873,     0.250312,     0.246886,        6.716,      3.50225 
     18.3015,      164.025,     0.261512,     0.257775,      6.86776,      3.52975 
     18.3181,       164.24,     0.278112,      0.27389,      7.08289,      3.56557 
     18.3347,      164.444,     0.294712,     0.289975,      7.28725,      3.59626 
     18.3515,      164.641,     0.311512,     0.306224,      7.48406,       3.6229 
     18.3681,      164.826,     0.328112,     0.322251,      7.66944,      3.64528 
     18.3847,      165.003,     0.344712,     0.338249,       7.8465,      3.66453 
     18.4015,      165.175,     0.361512,      0.35441,       8.0179,       3.6811 
     18.4181,      165.337,     0.378112,      0.37035,      8.18011,      3.69452 
     18.4347,      165.493,     0.394712,     0.386261,      8.33574,      3.70619 
     18.4681,      165.788,     0.428112,     0.418188,      8.63073,      3.72362 
     18.5015,      166.061,     0.461512,         0.45,      8.90412,      3.73536 
     18.5347,      166.314,     0.494712,     0.481508,      9.15707,      3.74213 
     18.5681,      166.552,     0.528112,     0.513092,      9.39486,      3.74537 
     18.6015,      166.775,     0.561512,     0.544562,      9.61778,      3.74635 
     18.6347,      166.983,     0.594712,     0.575732,      9.82618,      3.74414 
     18.7015,      167.368,     0.661512,     0.638113,      10.2109,      3.73698 
     18.7681,      167.712,     0.728112,     0.699865,      10.5554,      3.72738 
     18.8347,      168.024,     0.794712,      0.76118,      10.8675,      3.71139 
     18.9347,      168.443,     0.894712,     0.852435,      11.2862,      3.68725 
     19.0347,      168.813,     0.994712,     0.942731,      11.6561,      3.66482 
     19.1347,      169.144,      1.09471,      1.03208,      11.9867,      3.64196 
     19.3015,      169.626,      1.26151,      1.17906,      12.4688,      3.60427 
     19.4681,       170.04,      1.42811,      1.32335,      12.8828,      3.57106 
     19.6347,      170.402,      1.59471,      1.46519,      13.2447,      3.54267 
     19.8015,      170.723,      1.76151,      1.60481,      13.5658,      3.51997 
     19.9681,       171.01,      1.92811,      1.74193,       13.853,      3.49473 
     20.3015,      171.506,      2.26152,      2.00959,      14.3493,      3.45498 
     20.6347,      171.923,      2.59472,      2.26845,      14.7658,      3.42307 
     20.9681,       172.28,      2.92812,      2.51922,      15.1232,       3.3985 
     21.3015,      172.592,      3.26152,      2.76214,      15.4348,      3.37732 
     21.9681,      173.112,      3.92812,      3.22573,      15.9557,      3.34193 
     22.3015,      173.334,      4.26152,       3.4472,       16.177,      3.32867 
     22.6347,      173.535,      4.59472,      3.66202,      16.3777,      3.31591 
     22.9681,      173.718,      4.92812,      3.87073,      16.5611,      3.30488 
     23.6347,      174.042,      5.59472,      4.27036,      16.8848,      3.28677 
     23.9681,      174.186,      5.92812,       4.4619,      17.0288,      3.27908 
     24.6347,      174.444,      6.59472,      4.82931,      17.2876,      3.26502 
     25.3015,      174.671,      7.26152,      5.17747,      17.5144,      3.25357 
     25.9681,      174.872,      7.92812,      5.50765,      17.7152,      3.24345 
