t, p, dt, dte, dp, derlog 
       23.55,      3817.18,            0,            0,           -0,           -0 
     23.5506,         3819,   0.00062213,  0.000622121,      1.82657,      1.70536 
     23.5512,      3820.68,   0.00124723,    0.0012472,      3.49664,      3.20408 
     23.5519,      3822.21,   0.00186215,   0.00186207,      5.02821,      4.48944 
     23.5525,      3823.67,   0.00248825,   0.00248811,      6.49487,      5.65919 
     23.5531,      3825.04,   0.00310317,   0.00310296,      7.85737,      6.69451 
     23.5537,      3826.35,   0.00372927,   0.00372896,      9.17463,      7.64914 
     23.5543,      3827.59,   0.00434419,   0.00434377,      10.4068,       8.5017 
      23.555,      3828.78,   0.00497029,   0.00496974,      11.6045,      9.29318 
     23.5556,      3829.91,   0.00558521,   0.00558451,      12.7298,      10.0039 
     23.5562,      3831.01,    0.0062113,   0.00621044,      13.8279,      10.6651 
     23.5568,      3832.06,    0.0068374,   0.00683636,      14.8814,      11.2689 
     23.5575,      3833.05,   0.00745232,   0.00745108,      15.8758,      11.8169 
     23.5581,      3834.03,   0.00807842,   0.00807696,        16.85,      12.3294 
     23.5587,      3834.95,   0.00869334,   0.00869165,      17.7717,      12.7922 
     23.5593,      3835.85,   0.00931944,    0.0093175,      18.6765,      13.2259 
     23.5599,      3836.71,   0.00993436,   0.00993216,      19.5343,      13.6174 
     23.5606,      3837.56,    0.0105605,     0.010558,      20.3779,      13.9846 
     23.5612,      3838.36,    0.0111754,    0.0111726,      21.1787,      14.3164 
     23.5618,      3839.15,    0.0118015,    0.0117984,      21.9676,       14.626 
     23.5624,      3839.91,    0.0124276,    0.0124242,      22.7311,      14.9122 
      23.563,      3840.64,    0.0130425,    0.0130387,      23.4575,      15.1686 
     23.5637,      3841.35,    0.0136686,    0.0136644,      24.1745,      15.4104 
     23.5643,      3842.04,    0.0142836,     0.014279,      24.8576,      15.6285 
     23.5649,      3842.71,    0.0149097,    0.0149047,      25.5324,      15.8326 
     23.5655,      3843.35,    0.0155246,    0.0155192,      26.1759,      16.0159 
     23.5662,      3843.99,    0.0161507,    0.0161449,      26.8124,      16.1867 
     23.5668,       3844.6,    0.0167656,    0.0167593,      27.4201,      16.3405 
     23.5674,       3845.2,    0.0173917,    0.0173849,      28.0217,       16.483 
      23.568,      3845.79,    0.0180178,    0.0180106,      28.6068,      16.6118 
     23.5686,      3846.34,    0.0186327,     0.018625,      29.1662,      16.7283 
     23.5693,       3846.9,    0.0192588,    0.0192505,      29.7206,      16.8352 
     23.5699,      3847.43,    0.0198737,    0.0198649,      30.2511,      16.9296 
     23.5711,      3848.46,    0.0211147,    0.0211047,      31.2814,      17.0928 
     23.5717,      3848.96,    0.0217408,    0.0217302,      31.7817,      17.1634 
     23.5724,      3849.44,    0.0223558,    0.0223446,      32.2612,      17.2238 
      23.573,      3849.92,    0.0229819,    0.0229701,      32.7374,      17.2783 
     23.5742,      3850.83,    0.0242229,    0.0242098,      33.6482,      17.3665 
     23.5755,       3851.7,    0.0254639,    0.0254494,      34.5171,      17.4314 
     23.5767,      3852.53,    0.0267049,     0.026689,      35.3473,      17.4748 
     23.5779,      3853.32,    0.0279459,    0.0279285,      36.1412,      17.5009 
     23.5792,      3854.09,    0.0291981,    0.0291791,      36.9081,      17.5109 
     23.5804,      3854.81,    0.0304391,    0.0304184,      37.6364,      17.5067 
     23.5817,      3855.51,    0.0316802,    0.0316578,      38.3353,      17.4905 
     23.5829,      3856.18,    0.0329212,     0.032897,      39.0063,      17.4636 
     23.5842,      3856.83,    0.0341622,    0.0341362,      39.6513,      17.4278 
     23.5854,      3857.45,    0.0354032,    0.0353752,      40.2718,      17.3843 
     23.5866,      3858.05,    0.0366442,    0.0366142,      40.8693,      17.3331 
     23.5879,      3858.62,    0.0378853,    0.0378533,      41.4452,      17.2766 
     23.5891,      3859.18,    0.0391263,    0.0390921,      42.0005,      17.2142 
     23.5904,      3859.72,    0.0403785,    0.0403421,      42.5411,      17.1477 
     23.5916,      3860.24,    0.0416195,    0.0415808,      43.0585,      17.0778 
     23.5935,      3860.98,    0.0434754,    0.0434332,      43.8001,       16.965 
     23.5953,      3861.69,    0.0453425,    0.0452966,      44.5102,      16.8478 
     23.5972,      3862.37,    0.0472097,      0.04716,      45.1867,      16.7272 
     23.5991,      3863.01,    0.0490656,    0.0490119,      45.8283,       16.603 
     23.6009,      3863.62,    0.0509327,    0.0508748,       46.445,      16.4765 
     23.6034,       3864.4,    0.0534147,     0.053351,      47.2236,      16.3056 
