t, p, dt, dte, dp, derlog 
       38.21,      3244.88,            0,            0,           -0,           -0 
     38.2136,       3256.5,      0.00361,   0.00360979,      11.6204,      7.11255 
     38.2192,      3265.44,      0.00917,   0.00916868,       20.559,      10.1842 
     38.2247,      3270.15,      0.01472,    0.0147166,      25.2711,      9.53622 
     38.2303,      3273.04,      0.02028,    0.0202735,      28.1572,        8.539 
     38.2358,      3274.99,      0.02583,    0.0258195,      30.1104,      7.70396 
     38.2414,      3276.42,      0.03139,    0.0313745,       31.543,      7.07401 
     38.2469,      3277.53,      0.03694,    0.0369185,       32.652,      6.61166 
     38.2525,      3278.43,       0.0425,    0.0424716,      33.5517,      6.26829 
     38.2581,      3279.18,      0.04806,    0.0480236,      34.3043,       6.0173 
     38.2692,      3280.39,      0.05917,    0.0591149,      35.5136,      5.67554 
     38.2803,      3281.35,      0.07028,    0.0702023,      36.4668,       5.4592 
     38.2914,      3282.13,      0.08139,    0.0812858,      37.2555,      5.33567 
     38.3025,      3282.81,       0.0925,    0.0923654,       37.932,       5.2797 
     38.3136,      3283.41,      0.10361,     0.103441,      38.5283,      5.28289 
     38.3358,      3284.44,      0.12583,     0.125581,      39.5585,      5.40234 
     38.3581,      3285.33,      0.14806,     0.147715,      40.4481,      5.61032 
     38.3803,      3286.13,      0.17028,     0.169824,      41.2467,      5.87386 
     38.4025,      3286.86,       0.1925,     0.191918,      41.9814,      6.16085 
     38.4247,      3287.55,      0.21472,     0.213996,      42.6675,      6.45014 
      38.447,      3288.19,      0.23695,     0.236068,      43.3141,      6.72659 
     38.4692,      3288.81,      0.25917,     0.258115,      43.9265,      6.98336 
     38.4914,      3289.39,      0.28139,     0.280147,      44.5086,      7.22106 
     38.5136,      3289.94,      0.30361,     0.302163,      45.0636,      7.43159 
     38.5358,      3290.47,      0.32583,     0.324164,      45.5939,      7.63176 
     38.5914,       3291.7,      0.38139,     0.379108,      46.8227,       8.0366 
     38.6469,      3292.81,      0.43695,     0.433957,      47.9313,      8.34517 
     38.7025,      3293.82,       0.4925,       0.4887,      48.9378,      8.57804 
     38.7578,      3294.73,      0.54778,     0.543081,       49.853,       8.7476 
     38.8136,      3295.58,      0.60361,     0.597908,      50.7016,      8.87337 
     38.8747,      3296.43,      0.66472,      0.65781,      51.5556,      8.98427 
     38.9247,      3297.08,      0.71472,     0.706735,      52.2034,      9.05368 
     38.9803,      3297.76,      0.77028,     0.761011,      52.8761,      9.11339 
     39.0358,      3298.38,      0.82583,     0.815182,      53.5047,      9.15827 
     39.0914,      3298.97,      0.88139,     0.869269,      54.0944,      9.19365 
     39.1469,      3299.53,      0.93695,     0.923261,      54.6494,      9.22109 
     39.2025,      3300.05,       0.9925,     0.977148,      55.1732,      9.24175 
     39.2578,      3300.55,      1.04778,      1.03068,      55.6667,      9.25839 
     39.3136,      3301.02,      1.10361,      1.08465,      56.1396,      9.27119 
     39.4247,      3301.89,      1.21472,      1.19178,      57.0139,      9.28967 
     39.5358,      3302.69,      1.32583,      1.29853,      57.8116,      9.30275 
     39.6467,      3303.42,      1.43667,      1.40466,      58.5425,      9.31136 
     39.7578,       3304.1,      1.54778,      1.51067,      59.2203,      9.31699 
     39.8689,      3304.73,      1.65889,      1.61631,      59.8502,      9.32241 
     39.9803,      3305.32,      1.77028,      1.72185,      60.4399,      9.32541 
     40.0914,      3305.87,      1.88139,      1.82676,      60.9915,      9.32795 
     40.2025,      3306.39,       1.9925,       1.9313,      61.5106,      9.32999 
     40.3136,      3306.88,      2.10361,      2.03547,      62.0008,      9.33124 
     40.4247,      3307.34,      2.21472,      2.13929,      62.4649,      9.33273 
     40.6467,       3308.2,      2.43667,      2.34558,      63.3241,       9.3348 
     40.9025,       3309.1,       2.6925,       2.5816,       64.219,      9.33651 
     41.1247,      3309.81,      2.91472,      2.78508,      64.9272,      9.33734 
     41.3467,      3310.46,      3.13667,       2.9869,      65.5804,      9.33742 
     41.5689,      3311.07,      3.35889,      3.18757,      66.1876,      9.42692 
