t, p, dt, dte, dp, derlog 
          56,      9871.77,            0,            0,           -0,           -0 
       56.25,        10118,         0.25,     0.248889,      246.204,       200.67 
        56.5,      10303.4,          0.5,     0.495575,      431.601,      321.301 
       56.75,        10444,         0.75,     0.740088,      572.245,      369.172 
          57,      10550.8,            1,     0.982456,       679.04,      376.499 
       57.25,        10632,         1.25,      1.22271,      760.216,      360.084 
        57.5,      10693.8,          1.5,      1.46087,      822.001,      330.975 
       57.75,      10740.9,         1.75,      1.69697,      869.109,      296.279 
          58,      10776.9,            2,      1.93103,      905.108,      260.434 
       58.25,      10804.5,         2.25,      2.16309,      932.697,      226.071 
        58.5,      10825.7,          2.5,      2.39316,      953.921,      195.038 
          59,      10854.9,            3,      2.84746,      983.084,       143.89 
        59.5,      10872.7,          3.5,      3.29412,      1000.98,      106.138 
          60,      10884.2,            4,      3.73333,      1012.42,      81.3515 
          61,      10897.5,            5,      4.59016,      1025.72,      55.4183 
          62,      10905.5,            6,      5.41935,       1033.7,      46.2604 
          63,      10911.6,            7,      6.22222,      1039.88,      45.9927 
          64,      10917.2,            8,            7,      1045.43,      49.5297 
          65,      10922.5,            9,      7.75385,      1050.71,      54.8902 
          66,      10927.6,           10,      8.48485,      1055.87,      60.6619 
          68,      10937.7,           12,      9.88235,       1065.9,      72.3099 
          70,      10947.4,           14,         11.2,      1075.63,      84.1246 
          72,      10956.8,           16,      12.4444,      1085.07,      96.1384 
          74,        10966,           18,      13.6216,      1094.24,      108.677 
          76,      10974.9,           20,      14.7368,      1103.14,      119.875 
          80,        10992,           24,         16.8,      1120.21,      142.811 
          84,      11008.1,           28,      18.6667,      1136.35,       165.76 
          88,      11023.4,           32,      20.3636,      1151.63,      188.537 
          92,      11037.9,           36,       21.913,      1166.11,      209.944 
          96,      11051.6,           40,      23.3333,      1179.85,      230.761 
         101,      11067.8,           45,      24.9505,      1196.05,      255.965 
         106,        11083,           50,      26.4151,      1211.25,      281.222 
         111,      11097.3,           55,      27.7477,      1225.55,      303.855 
         126,      11135.5,           70,      31.1111,       1263.7,      369.123 
         128,      11140.1,           72,         31.5,      1268.32,      377.596 
         131,      11146.8,           75,      32.0611,      1275.04,      389.412 
         135,      11155.4,           79,      32.7704,      1283.68,      405.627 
         139,      11163.7,           83,      33.4388,      1291.95,      420.868 
         143,      11171.7,           87,      34.0699,      1299.89,      435.619 
         148,      11181.1,           92,      34.8108,      1309.35,      451.541 
         153,      11190.1,           97,      35.5033,      1318.36,      468.323 
         158,      11198.7,          102,      36.1519,      1326.93,       484.62 
         163,      11206.9,          107,      36.7607,      1335.11,      500.175 
         168,      11214.7,          112,      37.3333,      1342.91,      515.249 
         173,      11222.1,          117,      37.8728,      1350.36,      529.974 
         178,      11229.3,          122,       38.382,      1357.48,      544.566 
         183,      11236.1,          127,      38.8634,      1364.31,      557.829 
         194,      11250.1,          138,      39.8351,      1378.33,      585.621 
         196,      11252.5,          140,           40,      1380.75,      590.111 
         198,      11254.9,          142,      40.1616,      1383.13,      594.979 
         201,      11258.4,          145,       40.398,      1386.63,      602.153 
         204,      11261.8,          148,      40.6275,      1390.04,      608.849 
         209,      11267.3,          153,      40.9952,      1395.56,       620.28 
         213,      11271.6,          157,       41.277,      1399.82,      628.924 
         216,      11274.7,          160,      41.4815,      1402.94,      635.454 
         220,      11278.8,          164,      41.7455,      1406.99,      643.971 
         225,      11283.6,          169,      42.0622,      1411.88,      654.188 
         230,      11288.4,          174,      42.3652,      1416.61,      664.248 
         234,        11292,          178,      42.5983,      1420.27,      672.052 
         239,      11296.5,          183,      42.8787,      1424.71,      621.595 
