t, p, dt, dte, dp, derlog 
           0,        11347,            0,            0,            0,            0 
        0.25,      10914.2,         0.25,         0.25,      432.779,      273.946 
         0.5,      10675.9,          0.5,          0.5,      671.144,      379.787 
        0.75,      10516.1,         0.75,         0.75,      830.901,      397.965 
           1,      10402.6,            1,            1,      944.418,      385.007 
        1.25,      10319.3,         1.25,         1.25,      1027.67,      357.664 
         1.5,        10257,          1.5,          1.5,      1090.02,      324.523 
        1.75,      10209.6,         1.75,         1.75,      1137.45,      290.236 
           2,        10173,            2,            2,         1174,      257.647 
         2.5,        10122,          2.5,          2.5,      1224.95,      201.216 
           3,      10089.7,            3,            3,      1257.29,      157.348 
         3.5,      10068.2,          3.5,          3.5,      1278.82,       125.71 
           4,      10053.1,            4,            4,      1293.94,      104.065 
         4.5,      10041.8,          4.5,          4.5,      1305.22,      90.0742 
           5,      10032.8,            5,            5,      1314.17,      82.2352 
         5.5,      10025.3,          5.5,          5.5,      1321.68,        79.49 
           6,      10018.7,            6,            6,       1328.3,      76.9841 
           7,      10006.9,            7,            7,       1340.1,      79.0003 
           8,      9996.06,            8,            8,      1350.94,      85.0601 
           9,      9985.64,            9,            9,      1361.36,      92.9245 
          10,      9975.42,           10,           10,      1371.58,       101.65 
          12,      9955.37,           12,           12,      1391.63,      119.465 
          14,      9935.69,           14,           14,      1411.31,      136.813 
          16,      9916.34,           16,           16,      1430.66,       153.67 
          18,       9897.3,           18,           18,       1449.7,      169.991 
          20,      9878.58,           20,           20,      1468.42,      185.856 
          24,      9842.03,           24,           24,      1504.97,      215.979 
          28,      9806.63,           28,           28,      1540.37,      244.043 
          32,      9772.31,           32,           32,      1574.69,      270.338 
          36,      9739.03,           36,           36,      1607.97,      294.981 
          40,      9706.74,           40,           40,      1640.26,      318.071 
          45,       9667.7,           45,           45,       1679.3,      344.924 
          50,      9630.04,           50,           50,      1716.96,      369.496 
          55,       9593.7,           55,           55,       1753.3,      392.315 
          66,      9518.01,           66,           66,      1828.99,      437.173 
          67,       9511.4,           67,           67,       1835.6,      440.739 
          69,      9498.31,           69,           69,      1848.69,      448.041 
          71,       9485.4,           71,           71,       1861.6,       454.95 
          74,      9466.33,           74,           74,      1880.67,      465.462 
          77,      9447.62,           77,           77,      1899.38,      475.202 
          80,      9429.27,           80,           80,      1917.73,      484.482 
          84,      9405.32,           84,           84,      1941.68,      496.317 
          88,      9381.95,           88,           88,      1965.05,      507.507 
          92,      9359.13,           92,           92,      1987.87,      518.099 
          96,      9336.84,           96,           96,      2010.16,       528.17 
         100,      9315.07,          100,          100,      2031.93,      537.715 
         104,      9293.78,          104,          104,      2053.22,      546.768 
         108,      9272.97,          108,          108,      2074.03,      555.355 
         112,      9252.61,          112,          112,      2094.39,       563.32 
         116,      9232.69,          116,          116,      2114.31,      571.191 
         120,      9213.19,          120,          120,      2133.81,      578.599 
         131,      9161.59,          131,          131,      2185.41,      596.977 
         132,      9157.04,          132,          132,      2189.96,      598.541 
         134,      9148.01,          134,          134,      2198.99,      601.623 
         136,      9139.07,          136,          136,      2207.93,       604.62 
         138,      9130.21,          138,          138,      2216.79,      607.563 
         143,      9108.45,          143,          143,      2238.55,      614.347 
         148,      9087.19,          148,          148,      2259.81,       621.28 
         153,      9066.43,          153,          153,      2280.57,      627.653 
         158,      9046.14,          158,          158,      2300.86,      633.536 
         163,       9026.3,          163,          163,       2320.7,       639.35 
         168,      9006.89,          168,          168,      2340.11,      644.868 
         173,       8987.9,          173,          173,       2359.1,      650.115 
         178,       8969.3,          178,          178,       2377.7,      655.339 
