t, p, dt, dte, dp, derlog 
        0.12,        300.2,         0.12,         0.12,      8.92469,      7.75607 
         0.2,      295.213,          0.2,          0.2,      13.9121,      11.5877 
         0.3,      289.849,          0.3,          0.3,      19.2758,      14.7497 
         0.4,      285.293,          0.4,          0.4,      23.8316,      16.7591 
         0.5,      281.409,          0.5,          0.5,      27.7158,      17.9046 
         0.6,      278.087,          0.6,          0.6,      31.0382,      18.4159 
         0.7,      275.236,          0.7,          0.7,      33.8886,      18.4668 
         0.8,      272.784,          0.8,          0.8,      36.3411,      18.1895 
         0.9,      270.668,          0.9,          0.9,       38.457,      17.6841 
           1,      268.837,            1,            1,      40.2877,      17.0414 
        1.94,      259.736,         1.94,         1.94,      49.3892,      10.3404 
        2.79,      256.862,         2.79,         2.79,      52.2626,      6.48559 
        4.01,      255.077,         4.01,         4.01,      54.0482,      4.10116 
        4.82,      254.402,         4.82,         4.82,      54.7225,      3.44452 
        5.78,      253.817,         5.78,         5.78,      55.3076,      3.08863 
        6.94,      253.277,         6.94,         6.94,      55.8475,      2.86678 
        8.32,      252.773,         8.32,         8.32,      56.3518,      2.73289 
        14.4,      251.356,         14.4,         14.4,      57.7688,      2.49158 
        17.3,      250.905,         17.3,         17.3,      58.2201,      2.44008 
        20.7,       250.47,         20.7,         20.7,      58.6544,      2.40507 
        24.9,      250.029,         24.9,         24.9,      59.0957,      2.37607 
        29.8,      249.604,         29.8,         29.8,      59.5203,      2.35305 
        35.8,      249.175,         35.8,         35.8,      59.9499,      2.33384 
          43,      248.749,           43,           43,       60.376,      2.31808 
        51.5,      248.332,         51.5,         51.5,      60.7929,      2.30552 
        61.8,      247.913,         61.8,         61.8,      61.2122,      2.29628 
        74.2,      247.493,         74.2,         74.2,      61.6314,      2.29336 
        89.1,      247.074,         89.1,         89.1,      62.0512,      2.30552 
         107,      246.649,          107,          107,      62.4754,      2.34945 
         128,      246.223,          128,          128,      62.9022,      2.44835 
         154,      245.757,          154,          154,      63.3679,      2.63896 
         185,      245.251,          185,          185,      63.8741,      2.94508 
         222,       244.68,          222,          222,      64.4451,      3.38753 
         266,       244.02,          266,          266,      65.1044,      3.97644 
         319,      243.236,          319,          319,      65.8885,      4.72909 
         383,      242.294,          383,          383,      66.8312,      5.66194 
         460,      241.161,          460,          460,      67.9641,      6.50206 
