t, p, dt, dte, dp, derlog 
           0,      3119.41,            0,            0,            0,            0 
        0.03,      3114.76,         0.03,         0.03,      4.64645,        2.784 
        0.05,       3113.1,         0.05,         0.05,      6.31024,      3.68973 
        0.08,      3111.16,         0.08,         0.08,      8.25442,      4.72504 
        0.12,         3109,         0.12,         0.12,      10.4145,      5.85571 
        0.15,      3107.62,         0.15,         0.15,      11.7907,       6.5113 
         0.2,      3105.61,          0.2,          0.2,      13.8006,      7.48283 
        0.25,      3103.85,         0.25,         0.25,      15.5623,      8.31169 
         0.3,      3102.27,          0.3,          0.3,      17.1429,      9.02808 
        0.38,      3100.02,         0.38,         0.38,      19.3921,      10.0048 
        0.47,      3097.79,         0.47,         0.47,      21.6166,      10.9269 
        0.55,      3096.02,         0.55,         0.55,      23.3895,      11.6335 
        0.67,      3093.63,         0.67,         0.67,      25.7756,      12.5521 
        0.78,      3091.67,         0.78,         0.78,      27.7392,      13.2858 
        0.92,      3089.41,         0.92,         0.92,      29.9999,      14.1127 
        1.03,      3087.78,         1.03,         1.03,      31.6264,      14.7001 
        1.18,      3085.74,         1.18,         1.18,      33.6734,      15.4281 
        1.35,      3083.61,         1.35,         1.35,      35.7991,       16.179 
        1.52,      3081.65,         1.52,         1.52,      37.7576,      16.8661 
        1.73,      3079.42,         1.73,         1.73,      39.9895,      17.6478 
        1.92,      3077.55,         1.92,         1.92,      41.8615,       18.304 
        2.15,      3075.44,         2.15,         2.15,      43.9732,      19.0451 
         2.4,       3073.3,          2.4,          2.4,      46.1084,      19.7978 
        2.65,      3071.31,         2.65,         2.65,      48.1043,      20.5041 
         2.9,      3069.43,          2.9,          2.9,      49.9821,      21.1715 
        3.15,      3067.65,         3.15,         3.15,      51.7585,       21.808 
        3.37,      3066.16,         3.37,         3.37,      53.2483,      22.3424 
        3.62,      3064.54,         3.62,         3.62,      54.8677,      22.9283 
         3.8,      3063.42,          3.8,          3.8,      55.9898,      23.3332 
        4.05,      3061.92,         4.05,         4.05,      57.4935,      23.8776 
         4.3,      3060.47,          4.3,          4.3,      58.9391,      24.4017 
        4.55,      3059.08,         4.55,         4.55,      60.3322,      24.9083 
         4.8,      3057.73,          4.8,          4.8,      61.6773,      25.3963 
        5.05,      3056.43,         5.05,         5.05,      62.9786,      25.8682 
        5.55,      3053.95,         5.55,         5.55,       65.463,      26.7672 
         5.8,      3052.76,          5.8,          5.8,      66.6518,      27.1951 
